"GeneID","gene"
472,"ATC"
472,"ATD"
472,"ATDC"
472,"ATE"
472,"TEL1"
472,"TELO1"
473,"ARG"
473,"ARP"
473,"ATN1L"
473,"DNB1"
473,"NEDBEH"
474,"ATH1"
474,"DFNA89"
474,"HATH1"
474,"MATH-1"
474,"bHLHa14"
475,"ATX1"
475,"HAH1"
476,"CMT2DD"
476,"HOMGSMR2"
477,"DEE98"
477,"FARIMPD"
477,"FHM2"
477,"MHP2"
478,"AHC2"
478,"ATP1A1"
478,"CAPOS"
478,"DEE99"
478,"DYT12"
478,"RDP"
479,"ATP1AL1"
479,"H-K-ATPase"
479,"HK"
480,"ATP1A1"
480,"ATP1AL2"
481,"ATP1B"
482,"AMOG"
483,"ATPB-3"
483,"CD298"
486,"ATP1G1"
486,"HOMG2"
487,"ATP2A"
487,"SERCA1"
488,"ATP2B"
488,"DAR"
488,"DD"
488,"SERCA2"
489,"SERCA3"
490,"MRD66"
490,"PMCA1"
490,"PMCA1kb"
491,"DFNA82"
491,"PMCA2"
491,"PMCA2a"
491,"PMCA2i"
492,"CFAP39"
492,"CLA2"
492,"OPCA"
492,"PMCA3"
492,"PMCA3a"
492,"SCAX1"
493,"ATP2B2"
493,"MXRA1"
493,"PMCA4"
493,"PMCA4b"
493,"PMCA4x"
495,"ATP6A"
496,"ATP6B"
498,"ATP5A"
498,"ATP5A1"
498,"ATP5AL2"
498,"ATPM"
498,"COXPD22"
498,"HEL-S-123m"
498,"MC5DN4"
498,"MC5DN4A"
498,"MC5DN4B"
498,"MOM2"
498,"OMR"
498,"ORM"
498,"hATP1"
501,"ATQ1"
501,"EPD"
501,"EPEO4"
501,"PDE"
506,"ATP5B"
506,"ATPMB"
506,"ATPSB"
506,"HEL-S-271"
506,"HUMOP2"
509,"ATP5C"
509,"ATP5C1"
509,"ATP5CL1"
513,"ATP5D"
513,"MC5DN5"
514,"ATP5E"
514,"ATPE"
514,"MC5DN3"
515,"ATP5F1"
515,"PIG47"
516,"ATP5A"
516,"ATP5G"
516,"ATP5G1"
517,"ATP5A"
517,"ATP5G2"
518,"ATP5G3"
518,"DYTSPG"
518,"P3"
521,"ATP5I"
521,"ATP5K"
522,"ATP5"
522,"ATP5A"
522,"ATP5J"
522,"ATPM"
522,"CF6"
522,"F6"
523,"ARCL2D"
523,"ATP6A1"
523,"ATP6V1A1"
523,"DEE93"
523,"HO68"
523,"IECEE3"
523,"VA68"
523,"VPP2"
523,"Vma1"
525,"ATP6B1"
525,"DRTA2"
525,"RTA1B"
525,"VATB"
525,"VMA2"
525,"VPP3"
526,"ATP6B1B2"
526,"ATP6B2"
526,"DOOD"
526,"HO57"
526,"VATB"
526,"VPP3"
526,"Vma2"
526,"ZLS2"
527,"ATP6C"
527,"ATP6L"
527,"ATPL"
527,"EPEO3"
527,"VATL"
527,"VPPC"
527,"Vma3"
528,"ATP6C"
528,"ATP6D"
528,"VATC"
528,"Vma5"
529,"ARCL2C"
529,"ATP6E"
529,"ATP6E2"
529,"ATP6V1E"
529,"P31"
529,"Vma4"
533,"ATP6F"
533,"HATPL"
533,"VMA16"
534,"ATP6G"
534,"ATP6G2"
534,"NG38"
534,"VMA10"
535,"ATP6N1"
535,"ATP6N1A"
535,"DEE104"
535,"NEDEBA"
535,"Stv1"
535,"VPP1"
535,"Vph1"
535,"a1"
537,"16A"
537,"ATP6IP1"
537,"ATP6S1"
537,"Ac45"
537,"CF2"
537,"VATPS1"
537,"XAP-3"
537,"XAP3"
538,"DSMAX"
538,"HMNX"
538,"MK"
538,"MNK"
538,"SMAX3"
539,"ATP5O"
539,"ATPO"
539,"HMC08D05"
539,"MC5DN7"
539,"OSCP"
540,"PWD"
540,"WC1"
540,"WD"
540,"WND"
545,"FCTCS"
545,"FRP1"
545,"MEC1"
545,"SCKL"
545,"SCKL1"
546,"JMS"
546,"MRX52"
546,"RAD54"
546,"RAD54L"
546,"XH2"
546,"XNP"
546,"ZNF-HX"
547,"ATSV"
547,"C2orf20"
547,"HSN2C"
547,"MRD9"
547,"NESCAVS"
547,"SPG30"
547,"UNC104"
549,"AUH"
550,"AUP1"
551,"ADH"
551,"ARVP"
551,"AVP-NPII"
551,"AVRP"
551,"VP"
552,"AVPR V1a"
552,"AVPR1"
552,"V1aR"
553,"AVPR3"
