PMID35121907_TableS36_DrugDevelopment_Discovery_Precedence	gene
DrugDevelopmentLevel_Discovery_Precedence	AQP4
DrugDevelopmentLevel_Discovery_Precedence	NCAM1
DrugDevelopmentLevel_Discovery_Precedence	CD55
DrugDevelopmentLevel_Discovery_Precedence	ALPP
DrugDevelopmentLevel_Discovery_Precedence	TSG101
DrugDevelopmentLevel_Discovery_Precedence	NF2
DrugDevelopmentLevel_Discovery_Precedence	DSG2
DrugDevelopmentLevel_Discovery_Precedence	FCGR3A
DrugDevelopmentLevel_Discovery_Precedence	CD1B
DrugDevelopmentLevel_Discovery_Precedence	B2M
DrugDevelopmentLevel_Discovery_Precedence	P4HB
DrugDevelopmentLevel_Discovery_Precedence	RPSA
DrugDevelopmentLevel_Discovery_Precedence	TNFRSF9
DrugDevelopmentLevel_Discovery_Precedence	ABCC2
DrugDevelopmentLevel_Discovery_Precedence	TFPI
DrugDevelopmentLevel_Discovery_Precedence	S100A6
DrugDevelopmentLevel_Discovery_Precedence	TREM1
DrugDevelopmentLevel_Discovery_Precedence	IL21R
DrugDevelopmentLevel_Discovery_Precedence	TIAM1
DrugDevelopmentLevel_Discovery_Precedence	PTCH1
DrugDevelopmentLevel_Discovery_Precedence	CD1D
DrugDevelopmentLevel_Discovery_Precedence	ENG
DrugDevelopmentLevel_Discovery_Precedence	ENPP3
DrugDevelopmentLevel_Discovery_Precedence	S100A9
DrugDevelopmentLevel_Discovery_Precedence	SDCBP
DrugDevelopmentLevel_Discovery_Precedence	GRB7
DrugDevelopmentLevel_Discovery_Precedence	TREM2
DrugDevelopmentLevel_Discovery_Precedence	PTPRZ1
DrugDevelopmentLevel_Discovery_Precedence	RAB25
DrugDevelopmentLevel_Discovery_Precedence	RHOC
DrugDevelopmentLevel_Discovery_Precedence	ITGAM
DrugDevelopmentLevel_Discovery_Precedence	GZMA
DrugDevelopmentLevel_Discovery_Precedence	NRP1
DrugDevelopmentLevel_Discovery_Precedence	HLA-DQB1
DrugDevelopmentLevel_Discovery_Precedence	MICB
DrugDevelopmentLevel_Discovery_Precedence	JAG1
DrugDevelopmentLevel_Discovery_Precedence	FCGR2A
DrugDevelopmentLevel_Discovery_Precedence	IL7R
DrugDevelopmentLevel_Discovery_Precedence	PVR
DrugDevelopmentLevel_Discovery_Precedence	ITGB4
DrugDevelopmentLevel_Discovery_Precedence	HAVCR2
DrugDevelopmentLevel_Discovery_Precedence	VDAC1
DrugDevelopmentLevel_Discovery_Precedence	CX3CL1
DrugDevelopmentLevel_Discovery_Precedence	TJP1
DrugDevelopmentLevel_Discovery_Precedence	RRAD
DrugDevelopmentLevel_Discovery_Precedence	PKD2
DrugDevelopmentLevel_Discovery_Precedence	RGS2
DrugDevelopmentLevel_Discovery_Precedence	CD59
DrugDevelopmentLevel_Discovery_Precedence	ITGB5
DrugDevelopmentLevel_Discovery_Precedence	FZD2
DrugDevelopmentLevel_Discovery_Precedence	AQP5
DrugDevelopmentLevel_Discovery_Precedence	APLP1
DrugDevelopmentLevel_Discovery_Precedence	PROCR
DrugDevelopmentLevel_Discovery_Precedence	VLDLR
DrugDevelopmentLevel_Discovery_Precedence	THBD
DrugDevelopmentLevel_Discovery_Precedence	TNFRSF17
DrugDevelopmentLevel_Discovery_Precedence	ADIPOR2
DrugDevelopmentLevel_Discovery_Precedence	NRP2
DrugDevelopmentLevel_Discovery_Precedence	DSP
DrugDevelopmentLevel_Discovery_Precedence	FZD4
DrugDevelopmentLevel_Discovery_Precedence	CD209
DrugDevelopmentLevel_Discovery_Precedence	SERPINA5
DrugDevelopmentLevel_Discovery_Precedence	ITGA2
DrugDevelopmentLevel_Discovery_Precedence	CEACAM1
DrugDevelopmentLevel_Discovery_Precedence	ITGA5
DrugDevelopmentLevel_Discovery_Precedence	SORL1
DrugDevelopmentLevel_Discovery_Precedence	MR1
DrugDevelopmentLevel_Discovery_Precedence	KITLG
DrugDevelopmentLevel_Discovery_Precedence	FCER1A
DrugDevelopmentLevel_Discovery_Precedence	CXADR
DrugDevelopmentLevel_Discovery_Precedence	MPZ
DrugDevelopmentLevel_Discovery_Precedence	IQGAP1
DrugDevelopmentLevel_Discovery_Precedence	CANT1
DrugDevelopmentLevel_Discovery_Precedence	IL3RA
DrugDevelopmentLevel_Discovery_Precedence	RALA
DrugDevelopmentLevel_Discovery_Precedence	MRC1
DrugDevelopmentLevel_Discovery_Precedence	PECAM1
DrugDevelopmentLevel_Discovery_Precedence	DLG1
DrugDevelopmentLevel_Discovery_Precedence	NCR3
DrugDevelopmentLevel_Discovery_Precedence	STIM1
DrugDevelopmentLevel_Discovery_Precedence	GGT1
DrugDevelopmentLevel_Discovery_Precedence	TNFRSF14
DrugDevelopmentLevel_Discovery_Precedence	FZD5
DrugDevelopmentLevel_Discovery_Precedence	MYO10
DrugDevelopmentLevel_Discovery_Precedence	STEAP4
DrugDevelopmentLevel_Discovery_Precedence	LTB4R2
DrugDevelopmentLevel_Discovery_Precedence	EPB41L3
DrugDevelopmentLevel_Discovery_Precedence	ASTN2
DrugDevelopmentLevel_Discovery_Precedence	GP1BA
DrugDevelopmentLevel_Discovery_Precedence	DUSP15
DrugDevelopmentLevel_Discovery_Precedence	HLA-DPB1
DrugDevelopmentLevel_Discovery_Precedence	SMPD1
DrugDevelopmentLevel_Discovery_Precedence	FCGR2B
DrugDevelopmentLevel_Discovery_Precedence	HLA-DRA
DrugDevelopmentLevel_Discovery_Precedence	MAGI1
DrugDevelopmentLevel_Discovery_Precedence	FZD7
DrugDevelopmentLevel_Discovery_Precedence	ITGA1
DrugDevelopmentLevel_Discovery_Precedence	PVRL1
DrugDevelopmentLevel_Discovery_Precedence	LRP6
DrugDevelopmentLevel_Discovery_Precedence	ANTXR2
DrugDevelopmentLevel_Discovery_Precedence	ASGR1
DrugDevelopmentLevel_Discovery_Precedence	APBB1
DrugDevelopmentLevel_Discovery_Precedence	GRK5
DrugDevelopmentLevel_Discovery_Precedence	CD207
DrugDevelopmentLevel_Discovery_Precedence	LAIR1
DrugDevelopmentLevel_Discovery_Precedence	PTPRT
DrugDevelopmentLevel_Discovery_Precedence	ADAP1
DrugDevelopmentLevel_Discovery_Precedence	IL13RA1
DrugDevelopmentLevel_Discovery_Precedence	CTNNA1
DrugDevelopmentLevel_Discovery_Precedence	STEAP3
DrugDevelopmentLevel_Discovery_Precedence	FCGR3B
DrugDevelopmentLevel_Discovery_Precedence	ITGB6
DrugDevelopmentLevel_Discovery_Precedence	GP6
DrugDevelopmentLevel_Discovery_Precedence	ROBO1
DrugDevelopmentLevel_Discovery_Precedence	SORBS1
DrugDevelopmentLevel_Discovery_Precedence	DYSF
DrugDevelopmentLevel_Discovery_Precedence	NLGN1
DrugDevelopmentLevel_Discovery_Precedence	IFNGR2
DrugDevelopmentLevel_Discovery_Precedence	DYNC2H1
DrugDevelopmentLevel_Discovery_Precedence	CACNG2
DrugDevelopmentLevel_Discovery_Precedence	PREX1
DrugDevelopmentLevel_Discovery_Precedence	ASPH
DrugDevelopmentLevel_Discovery_Precedence	BTN3A1
DrugDevelopmentLevel_Discovery_Precedence	SYNE2
DrugDevelopmentLevel_Discovery_Precedence	SYTL2
DrugDevelopmentLevel_Discovery_Precedence	B4GALT1
DrugDevelopmentLevel_Discovery_Precedence	PTPRE
DrugDevelopmentLevel_Discovery_Precedence	PICK1
DrugDevelopmentLevel_Discovery_Precedence	IL22RA1
DrugDevelopmentLevel_Discovery_Precedence	PIP5K1A
DrugDevelopmentLevel_Discovery_Precedence	RGMB
DrugDevelopmentLevel_Discovery_Precedence	GYPA
DrugDevelopmentLevel_Discovery_Precedence	CD47
DrugDevelopmentLevel_Discovery_Precedence	AHNAK2
DrugDevelopmentLevel_Discovery_Precedence	SIGLEC8
DrugDevelopmentLevel_Discovery_Precedence	SIRPA
DrugDevelopmentLevel_Discovery_Precedence	BST1
DrugDevelopmentLevel_Discovery_Precedence	SLC4A1
DrugDevelopmentLevel_Discovery_Precedence	NCAM2
DrugDevelopmentLevel_Discovery_Precedence	ARF6
DrugDevelopmentLevel_Discovery_Precedence	ITGB8
DrugDevelopmentLevel_Discovery_Precedence	PTPRM
DrugDevelopmentLevel_Discovery_Precedence	TMPRSS11E
DrugDevelopmentLevel_Discovery_Precedence	GNAI3
DrugDevelopmentLevel_Discovery_Precedence	NCS1
DrugDevelopmentLevel_Discovery_Precedence	ESYT2
DrugDevelopmentLevel_Discovery_Precedence	CLEC4M
DrugDevelopmentLevel_Discovery_Precedence	RHCG
DrugDevelopmentLevel_Discovery_Precedence	SLC9A2
DrugDevelopmentLevel_Discovery_Precedence	TIMD4
DrugDevelopmentLevel_Discovery_Precedence	MRC2
DrugDevelopmentLevel_Discovery_Precedence	RAB11A
DrugDevelopmentLevel_Discovery_Precedence	GPR18
DrugDevelopmentLevel_Discovery_Precedence	SIGLEC7
DrugDevelopmentLevel_Discovery_Precedence	TPBG
DrugDevelopmentLevel_Discovery_Precedence	BCAP31
DrugDevelopmentLevel_Discovery_Precedence	RP2
DrugDevelopmentLevel_Discovery_Precedence	PIK3AP1
DrugDevelopmentLevel_Discovery_Precedence	MPP5
DrugDevelopmentLevel_Discovery_Precedence	PLXND1
DrugDevelopmentLevel_Discovery_Precedence	GPR34
DrugDevelopmentLevel_Discovery_Precedence	TYROBP
DrugDevelopmentLevel_Discovery_Precedence	KCNJ3
DrugDevelopmentLevel_Discovery_Precedence	MCOLN1
DrugDevelopmentLevel_Discovery_Precedence	MYO1C
DrugDevelopmentLevel_Discovery_Precedence	GNB1
DrugDevelopmentLevel_Discovery_Precedence	ENPP7
DrugDevelopmentLevel_Discovery_Precedence	KCNK1
DrugDevelopmentLevel_Discovery_Precedence	RAB11FIP2
DrugDevelopmentLevel_Discovery_Precedence	RAB8A
DrugDevelopmentLevel_Discovery_Precedence	TTC7B
DrugDevelopmentLevel_Discovery_Precedence	RND1
DrugDevelopmentLevel_Discovery_Precedence	SCN4B
DrugDevelopmentLevel_Discovery_Precedence	SELPLG
DrugDevelopmentLevel_Discovery_Precedence	PCDH15
DrugDevelopmentLevel_Discovery_Precedence	CYTH2
DrugDevelopmentLevel_Discovery_Precedence	VNN1
DrugDevelopmentLevel_Discovery_Precedence	ADGRB3
DrugDevelopmentLevel_Discovery_Precedence	CAPNS1
DrugDevelopmentLevel_Discovery_Precedence	SNX9
DrugDevelopmentLevel_Discovery_Precedence	GNAI1
DrugDevelopmentLevel_Discovery_Precedence	PILRA
DrugDevelopmentLevel_Discovery_Precedence	IYD
DrugDevelopmentLevel_Discovery_Precedence	DAG1
DrugDevelopmentLevel_Discovery_Precedence	SCARB2
DrugDevelopmentLevel_Discovery_Precedence	UMOD
DrugDevelopmentLevel_Discovery_Precedence	LRPAP1
DrugDevelopmentLevel_Discovery_Precedence	GALNT10
DrugDevelopmentLevel_Discovery_Precedence	FCAR
