PMID35121907_TableS2_GESPGenes ,gene
SurfaceomeEnzyme,ENPP4
SurfaceomeIonChannel,GABRA5
SurfaceomeTetraspanin,TSPAN9
Surfaceome,VNN2
SurfaceomeEnzyme,GGT7
SurfaceomeGPCR,LGR5
Surfaceome,MSLN
SurfaceomeKinase,NPR1
SurfaceomeGPCR,VIPR1
SurfaceomeNK cell co-stimulator,MICB
SurfaceomeGPCR,GABBR2
SurfaceomeGPCR,LPAR5
SurfaceomeEnzyme,PTPRB
Surfaceome,FOLR2
Surfaceome,CTNS
SurfaceomeGPCR,GPR65
SurfaceomeCadherin,PCDH15
SurfaceomeGPCR,LPAR6
SurfaceomeGPCR,GPR50
SurfaceomeProlactin receptor family,GHR
SurfaceomeIL-6 receptor family,IL6R
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator,TNFRSF9
Surfaceome,CD83
SurfaceomeEnzyme,ACE2
SurfaceomeFc ReceptorCTLDs II Type 2 receptor,FCER2
SurfaceomeKinase,TIE1
SurfaceomeIL-17 receptor family,IL17RB
Surfaceome,GPM6B
SurfaceomeIonChannel,CACNA2D2
Surfaceome,C11orf24
SurfaceomeNK cell co-stimulatorCTLDs V NK receptor,KLRK1
SurfaceomeIgSF_CAM,MPZL2
Surfaceome,LRP4
SurfaceomeIonChannel,GRID1
Surfaceome,PLVAP
SurfaceomeTransporter,SLC43A1
SurfaceomeNK cell co-stimulator,NCR3LG1
SurfaceomeIgSF_CAM,AMICA1
Surfaceome,MFAP3L
Surfaceome,TMEM231
SurfaceomeNK cell co-inhibitor,KIR2DL3
SurfaceomeIL-2 receptor familyT cell co-stimulator,CRLF2
SurfaceomeGPCR,FSHR
Surfaceome,MFAP3
Surfaceome,TMEFF1
SurfaceomeCadherin,CDH8
SurfaceomeGPCR,SSTR5
SurfaceomeGPCR,EDNRA
SurfaceomeGPCR,S1PR3
SurfaceomeGPCR,LTB4R2
Surfaceome,PLXNB3
SurfaceomeKinase,NPR2
SurfaceomeGPCR,HTR1D
SurfaceomeGPCR,TACR2
SurfaceomeGPCR,NTSR1
SurfaceomeGPCR,GABBR1
SurfaceomeGPCR,ADRA1B
SurfaceomeGPCR,NMUR1
SurfaceomeGPCR,CMKLR1
SurfaceomeGPCR,ADRA2C
SurfaceomeGPCR,NMBR
SurfaceomeGPCR,GPR174
SurfaceomeGPCR,NPFFR2
SurfaceomeGPCR,HTR1A
SurfaceomeGPCR,GPR156
Surfaceome,CD1A
SurfaceomeIonChannel,CHRNA5
SurfaceomeTransporter,ABCC6
SurfaceomeTransporter,ABCC2
SurfaceomeT cell co-stimulator,CD7
SurfaceomeT cell co-inhibitor,VTCN1
Surfaceome,GJB3
SurfaceomeIgSF_CAM,MPZ
Surfaceome,GJB6
Surfaceome,EFNA5
SurfaceomeIntegrin,ITGA2B
Surfaceome,PRIMA1
SurfaceomeEnzymeCTLDs VI MMR family,PLA2R1
SurfaceomeTransporter,SLCO2A1
SurfaceomeCadherin,CDH10
Surfaceome,GJB1
SurfaceomeIonChannel,CHRNA1
Surfaceome,FNDC5
SurfaceomeTransporter,SLC9A3
SurfaceomeTransporter,ATP2B3
Surfaceome,LINGO1
SurfaceomeIonChannel,SCN2A
SurfaceomeIonChannel,GRIA3
SurfaceomeTransporter,SLCO1A2
SurfaceomeCadherin,PCDH18
Surfaceome,MFSD2A
SurfaceomeTransporter,SLC15A2
SurfaceomeIonChannel,TTYH2
SurfaceomeCadherin,PCDH19
SurfaceomeEnzyme,HYAL2
SurfaceomeIgSF_CAM,SIGLEC6
SurfaceomeEnzyme,TMPRSS5
SurfaceomeIonChannel,SCN4B
SurfaceomeIonChannel,SCNN1D
SurfaceomeIonChannel,GRIK5
SurfaceomeEnzyme,VNN1
SurfaceomeCadherin,CDHR5
SurfaceomeFc Receptor,FCRL6
SurfaceomeNK cell co-inhibitorCTLDs V NK receptor,KLRC1
SurfaceomeCadherin,CDH26
Surfaceome,CD164
Surfaceome,CLDN12
SurfaceomeIonChannel,GABRA2
SurfaceomeIonChannel,TRPV5
SurfaceomeIonChannel,CACNG6
SurfaceomeIonChannel,CHRND
SurfaceomeTransporter,SLC34A1
Surfaceome,SGCZ
SurfaceomeIonChannel,CALHM1
SurfaceomeCadherin,PCDH20
SurfaceomeTransporter,SLC26A5
SurfaceomeCTLDs V NK receptor,CLEC2A
SurfaceomeCadherin,CDH9
SurfaceomeIonChannel,KCNK18
SurfaceomeKinase,ALK
Surfaceome,LY6K
SurfaceomeIL-6 receptor family,CNTFR
SurfaceomeTransporter,ABCA1
SurfaceomeCTLDs VI MMR family,MRC2
SurfaceomeTransporter,SLC1A3
Surfaceome,IGF2R
Surfaceome,TM9SF3
SurfaceomeTransporter,SLC44A1
SurfaceomeTransporter,SLC16A3
SurfaceomeTetraspanin,CD151
Surfaceome,CD109
Surfaceome,FLNA
SurfaceomeTransporter,SLC16A7
SurfaceomeTetraspanin,CD9
SurfaceomeEnzyme,ADAM9
Surfaceome,LAMP2
Surfaceome,CLPTM1
Surfaceome,LRRC8C
SurfaceomeEnzyme,CPM
SurfaceomeIgSF_CAM,NEGR1
Surfaceome,F3
SurfaceomeTransporter,ABCC4
SurfaceomeEnzyme,DAGLB
Surfaceome,VASN
Surfaceome,CLDND1
Surfaceome,CNNM3
SurfaceomeGPCR,LPAR1
SurfaceomeCadherin,DSG1
SurfaceomeGPCR,GLP1R
SurfaceomeGPCRCadherin,CELSR2
Surfaceome,CD55
Surfaceome,CDCP1
Surfaceome,LRP6
Surfaceome,HLA-DRB5
SurfaceomeIgSF_CAMT cell co-stimulator,CD84
SurfaceomeTransporter,SLC4A1
Surfaceome,SEMA4B
Surfaceome,TENM3
SurfaceomeTransporter,SLC12A7
SurfaceomeEnzyme,TRHDE
SurfaceomeTransporter,SLC30A1
SurfaceomeTransporter,SLC12A9
SurfaceomeIonChannel,CLCN1
SurfaceomeGPCR,EDNRB
SurfaceomeGPCR,PTGER3
Surfaceome,HLA-DRA
SurfaceomeGPCR,S1PR2
SurfaceomeGPCR,HTR1B
SurfaceomeEnzyme,CA12
Surfaceome,SDC2
SurfaceomeTransporter,SLC2A9
Surfaceome,HLA-DPB1
Surfaceome,SEZ6L2
SurfaceomeTransporter,ATP1A3
SurfaceomeIonChannel,TRPM4
SurfaceomeIL-2 receptor family,IL13RA1
SurfaceomeTransporter,SLC6A9
Surfaceome,MCEMP1
SurfaceomeIgSF_CAM,SDK1
SurfaceomeTransporter,SLC12A6
Surfaceome,SEMA4A
SurfaceomeT cell co-inhibitor,C10orf54
SurfaceomeTransporter,SLC20A2
SurfaceomeTransporter,SLC2A13
SurfaceomeEnzyme,RNF149
SurfaceomeEnzyme,SPPL2A
SurfaceomeMucin,MUC1
SurfaceomeGPCR,ADRA2A
SurfaceomeGPCR,S1PR4
