PMID35121907_TableS2_GESPGenes ,gene
SurfaceomeGPCR,OR12D3
SurfaceomeGPCR,TAS2R40
SurfaceomeGPCR,OR14J1
SurfaceomeGPCR,TAS2R9
SurfaceomeGPCR,TAS2R7
Surfaceome,GJE1
SurfaceomeIonChannel,RYR2
SurfaceomeEnzyme,PLA2G2A
SurfaceomeEnzyme,PTPN13
Surfaceome,JPH3
Surfaceome,TMEFF2
SurfaceomeKinase,STYK1
Surfaceome,KREMEN2
SurfaceomeEnzyme,HSD17B2
SurfaceomeIonChannel,CACNA1E
SurfaceomeIonChannel,HCN2
SurfaceomeEnzyme,CA14
SurfaceomeTransporter,SLC30A8
SurfaceomeKinase,TNK2
SurfaceomeEnzyme,UGT8
SurfaceomeEnzyme,1-Mar
Surfaceome,XG
SurfaceomeT cell co-stimulator,SLAMF9
SurfaceomeIonChannel,BEST3
Surfaceome,LY6D
Surfaceome,MPEG1
SurfaceomeIonChannel,TMEM37
SurfaceomeKinase,PRKD1
Surfaceome,LRRC19
SurfaceomeTransporter,SLC17A9
SurfaceomeTransporter,SLC7A4
SurfaceomeTransporter,SLC45A1
SurfaceomeEnzyme,PPAPDC1B
Surfaceome,SEMA5B
SurfaceomeTransporter,SLC12A8
Surfaceome,JPH1
Surfaceome,PRR7
Surfaceome,RPRM
SurfaceomeT cell co-stimulatorCTLDs V NK receptor,CLECL1
Surfaceome,LINGO4
SurfaceomeTransporter,SLC16A11
SurfaceomeIL-10 receptor family,IL22RA1
Surfaceome,SV2B
SurfaceomeIonChannel,SCN8A
SurfaceomeIonChannel,TRPV1
SurfaceomeIonChannel,KCNN2
SurfaceomeT cell co-stimulator,SLAMF8
SurfaceomeIgSF_CAM,SIGLEC8
SurfaceomeEnzyme,SC5D
Surfaceome,C1orf233
Surfaceome,LRRC37A3
SurfaceomeTransporter,SLC17A3
Surfaceome,DCST2
SurfaceomeCTLDs V NK receptor,CLEC9A
SurfaceomeIonChannel,FXYD5
SurfaceomeIgSF_CAM,VSIG8
Surfaceome,VSIG10L
Surfaceome,MS4A15
SurfaceomeTransporter,SLC38A3
Surfaceome,RHD
Surfaceome,LIME1
SurfaceomeTransporter,SLC30A10
Surfaceome,RNF150
Surfaceome,PTCHD2
SurfaceomeTetraspanin,ROM1
SurfaceomeTransporter,ABCA13
Surfaceome,LSMEM1
Surfaceome,CNTNAP5
SurfaceomeIgSF_CAM,VSIG1
SurfaceomeEnzyme,TMPRSS11A
SurfaceomeIonChannel,HCN3
SurfaceomeEnzyme,MFNG
SurfaceomeT cell co-stimulator/co-inhibitor,TIMD4
Surfaceome,MPZL3
SurfaceomeKinase,PRKCH
Surfaceome,LRRN3
SurfaceomeIonChannel,SCN3A
Surfaceome,NIPAL4
Surfaceome,CEACAM19
SurfaceomeIonChannel,KCNT2
Surfaceome,GPR137B
Surfaceome,CLDN14
SurfaceomeIonChannel,KCNJ16
Surfaceome,LRRN2
Surfaceome,ASTN1
SurfaceomeEnzyme,CHPF2
Surfaceome,PCNXL2
Surfaceome,LINGO3
SurfaceomeIgSF_CAM,SIGLEC11
Surfaceome,TMEM145
SurfaceomeEnzyme,ENPP5
SurfaceomeIgSF_CAM,SIGLEC15
Surfaceome,TMEM171
SurfaceomeTransporter,ATP2C2
Surfaceome,SCIMP
Surfaceome,TMEM255B
SurfaceomeEnzyme,RP11-35N6.1
Surfaceome,NKG7
SurfaceomeIgSF_CAM,UNC5D
Surfaceome,PRRG1
Surfaceome,BRICD5
SurfaceomeEnzyme,ENTPD3
Surfaceome,KIAA1644
SurfaceomeScavenger receptor,SCARF1
SurfaceomeEnzyme,ZDHHC22
SurfaceomeIonChannel,KCNA4
Surfaceome,TMEM117
Surfaceome,C1orf162
Surfaceome,FAM171B
SurfaceomeMucin,MUC3A
SurfaceomeEnzyme,DUOXA1
Surfaceome,TMEM144
SurfaceomeIonChannel,KCNH1
Surfaceome,MAMDC4
Surfaceome,MFSD6L
SurfaceomeTransporter,SLC30A2
Surfaceome,SDC3
Surfaceome,IGDCC3
Surfaceome,NIPAL1
Surfaceome,SGCG
Surfaceome,FAM57A
Surfaceome,SHISA8
Surfaceome,C19orf18
Surfaceome,TMEM182
Surfaceome,NIPAL2
Surfaceome,GPR137C
SurfaceomeTransporter,SLC39A12
Surfaceome,CYYR1
SurfaceomeTransporter,SLC38A11
SurfaceomeIonChannel,TRPM3
Surfaceome,TM6SF1
SurfaceomeIgSF_CAM,LRFN5
Surfaceome,TMEM64
Surfaceome,CD300E
Surfaceome,C16orf52
SurfaceomeIonChannel,SCN11A
Surfaceome,MFSD7
Surfaceome,C15orf27
Surfaceome,TMEM132B
SurfaceomeTransporter,SLC4A8
Surfaceome,POPDC2
SurfaceomeNK cell co-stimulator,NCR1
Surfaceome,TMEM161A
Surfaceome,PCNXL4
Surfaceome,SUSD4
Surfaceome,CEACAM3
Surfaceome,OTOP1
SurfaceomeIonChannel,SCN10A
SurfaceomeEnzyme,ALG10B
Surfaceome,GJA10
Surfaceome,LRRC37A2
SurfaceomeEnzyme,ACPT
Surfaceome,HIAT1
Surfaceome,SVOP
Surfaceome,LHFPL1
Surfaceome,MFSD11
SurfaceomeTransporter,SLC35A5
Surfaceome,FAM73B
Surfaceome,LRP3
Surfaceome,C17orf78
SurfaceomeTransporter,ABCG4
SurfaceomeEnzyme,ADAM7
Surfaceome,CNTNAP3B
SurfaceomeIonChannel,KCNS2
SurfaceomeTransporter,ABCA10
Surfaceome,C1orf101
Surfaceome,SVOPL
Surfaceome,PTCHD3
SurfaceomeEnzyme,TMPRSS15
Surfaceome,IL1RAPL2
Surfaceome,MALRD1
Surfaceome,LRIT1
Surfaceome,LRIT3
Surfaceome,MANSC4
SurfaceomeTransporter,SLC35G5
Surfaceome,INAFM2
Surfaceome,IFITM5
Surfaceome,CLRN1
Surfaceome,FNDC9
Surfaceome,TMEM8C
SurfaceomeEnzyme,ADAM32
Surfaceome,CLDN25
SurfaceomeEnzyme,ADAM30
SurfaceomeEnzyme,ADAM21
Surfaceome,FAM187B
SurfaceomeMucin,MUC22
Surfaceome,LRRC37A
Surfaceome,RPRML
Surfaceome,TMEM225
SurfaceomeEnzyme,ADAM20
SurfaceomeGPCR,OR8S1
Surfaceome,OR2A42
SurfaceomeTransporter,SLC22A24
SurfaceomeTransporter,SLC36A3
SurfaceomeTransporter,SLC15A5
SurfaceomeKinase,LCK
SurfaceomeEnzyme,PLD1
Surfaceome,FRS2
Surfaceome,TIAM1
SurfaceomeEnzyme,MIB1
Surfaceome,MAPKAP1
SurfaceomeEnzyme,RRAD
Surfaceome,PKP3
SurfaceomeKinase,FES
Surfaceome,NHS
SurfaceomeEnzyme,MAGI1
SurfaceomeKinase,RIPK1
Surfaceome,BBS9
Surfaceome,JPH4
Surfaceome,AAMP
Surfaceome,SORBS1
Surfaceome,DLG5
Surfaceome,GPRIN1
SurfaceomeKinase,FER
Surfaceome,AMPH
Surfaceome,ADAP2
Surfaceome,RAPH1
SurfaceomeEnzyme,PPP1R16A
SurfaceomeEnzyme,PIK3AP1
Surfaceome,IFIT5
Surfaceome,EPB41L1
Surfaceome,DNAJB4
Surfaceome,BBS2
Surfaceome,RAB11FIP2
SurfaceomeEnzyme,ST6GALNAC3
Surfaceome,PSD4
Surfaceome,TOLLIP
Surfaceome,BBS1
Surfaceome,C1QTNF1
Surfaceome,ERC1
Surfaceome,TULP1
Surfaceome,TMEM5
SurfaceomeEnzyme,ABHD2
Surfaceome,STRC
Surfaceome,TICAM2
Surfaceome,REPS1
Surfaceome,PALM2
Surfaceome,LRRC53
SurfaceomeEnzyme,PTPN22
Surfaceome,DLG4
SurfaceomeEnzyme,ST8SIA4
Surfaceome,SH2B2
SurfaceomeEnzyme,PLA2G2F
Surfaceome,MSLNL
SurfaceomeKinase,MAP3K12
Surfaceome,PLEKHH2
Surfaceome,TBC1D30
SurfaceomeGPCR,NPY6R
Surfaceome,TSPEAR
SurfaceomeGPCR,OR2T7
SurfaceomeGPCR,OR8J2
Surfaceome,IRS1
Surfaceome,ARC
Surfaceome,LZTS1
Surfaceome,BLNK
Surfaceome,NOD2
Surfaceome,GRB7
Surfaceome,PRX
SurfaceomeEnzyme,NOS3
SurfaceomeEnzyme,GEM
SurfaceomeKinase,PTK6
Surfaceome,RGS2
Surfaceome,PSD
SurfaceomeEnzyme,MAGI2
SurfaceomeEnzyme,ARL4D
Surfaceome,MYO10
SurfaceomeKinase,BMX
Surfaceome,PARD6B
Surfaceome,OLFM4
SurfaceomeEnzyme,RASD2
Surfaceome,RGS1
SurfaceomeEnzyme,NEURL1
Surfaceome,CBLN1
Surfaceome,NTNG2
Surfaceome,RHOBTB2
SurfaceomeEnzyme,PDE2A
Surfaceome,FAM126B
SurfaceomeEnzyme,MAGI3
Surfaceome,PLEK2
SurfaceomeEnzyme,LPO
Surfaceome,PICK1
Surfaceome,ENOX1
SurfaceomeEnzyme,RASD1
SurfaceomeIonChannel,CACNB2
Surfaceome,MURC
Surfaceome,PLIN4
Surfaceome,AMER2
Surfaceome,OSBPL6
SurfaceomeEnzyme,STAMBPL1
Surfaceome,GPIHBP1
Surfaceome,BFSP1
SurfaceomeKinase,PXK
Surfaceome,ANKS1B
Surfaceome,SHC4
Surfaceome,SHANK1
Surfaceome,SYTL1
Surfaceome,SHROOM2
Surfaceome,BFSP2
SurfaceomeEnzyme,DGKG
Surfaceome,HYLS1
SurfaceomeEnzyme,ARL4A
Surfaceome,SCEL
Surfaceome,GNGT2
Surfaceome,C9orf135
SurfaceomeEnzyme,ARL6
Surfaceome,TRBV25-1
Surfaceome,PALM3
Surfaceome,SDCBP2
Surfaceome,LYPD6
Surfaceome,TRBV2
Surfaceome,ENOX2
Surfaceome,TRAV3
Surfaceome,GCC1
Surfaceome,RSC1A1
Surfaceome,SNTG2
Surfaceome,PRMT8
SurfaceomeIgSF_CAM,SIGLEC16
SurfaceomeIonChannelCTLDs X Polycystin family,PKD1L2
Surfaceome,IGHV4OR15-8
SurfaceomeEnzymeNK cell co-stimulator,TYROBP
Surfaceome,SMIM1
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF12A
Surfaceome,CD247
SurfaceomeNK cell co-stimulator,RAET1L
Surfaceome,SHH
SurfaceomeKinase,BLK
SurfaceomeNK cell co-stimulator,MICA
SurfaceomeGPCR,TAS2R5
SurfaceomeGPCR,TAS2R43
SurfaceomeGPCR,TAS2R10
SurfaceomeGPCR,OR2A1
SurfaceomeGPCR,GPR179
SurfaceomeGPCR,OR2H2
SurfaceomeGPCR,OR8B2
SurfaceomeGPCR,OR5T1
SurfaceomeTNF,TNFSF10
Surfaceome,MBP
Surfaceome,RHCE
SurfaceomeFc Receptor,FCAMR
SurfaceomeT cell co-inhibitor,PVRIG
SurfaceomeIgSF_CAM,SIGLECL1
SurfaceomeT cell co-stimulator,CD300LD
SurfaceomeGPCR,OPN1MW
SurfaceomeGPCR,OPN1MW2
SurfaceomeIgSF_CAM,SIGLEC14
Surfaceome,LILRA4
Surfaceome,NPTXR
Surfaceome,COL23A1
SurfaceomeGPCR,OR12D2
SurfaceomeGPCR,VN1R5
SurfaceomeNK cell co-stimulator,KIR2DS4
Surfaceome,SNCA
SurfaceomeTetraspanin,TSPAN10
SurfaceomeAtypical chemokine Receptor,PITPNM3
Surfaceome,HMMR
SurfaceomeGPCR,OR10C1
SurfaceomeTNFT cell co-stimulator,TNFSF9
SurfaceomeEnzyme,STEAP1
SurfaceomeCTLDs II Type 2 receptor,CLEC10A
SurfaceomeCTLDs II Type 2 receptor,CD207
SurfaceomeTetraspanin,PRPH2
SurfaceomeTetraspanin,TSPAN32
SurfaceomeT cell co-stimulator,BTNL8
SurfaceomeNK cell co-stimulator,HCST
Surfaceome,GP9
SurfaceomeTetraspanin,TSPAN16
SurfaceomeKinase,GUCY2F
SurfaceomeCTLDs II Type 2 receptor,CLEC4D
SurfaceomeT cell co-inhibitor,BTNL2
SurfaceomeNK cell co-inhibitorCTLDs V NK receptor,KLRC4
SurfaceomeCTLDs II Type 2 receptor,CLEC4C
SurfaceomeGPCR,OR8B3
SurfaceomeIgSF_CAM,MADCAM1
SurfaceomeGPCR,OR13C6P
SurfaceomeGPCR,OR2W5
SurfaceomeGPCR,VN1R17P
SurfaceomeEnzyme,GAD2
SurfaceomeGPCR,OR2L8
SurfaceomeGPCR,OR10X1
SurfaceomeGPCR,OR10A6
SurfaceomeGPCR,OR1S1
SurfaceomeGPCR,OR52R1
SurfaceomeGPCR,OR4C16
SurfaceomeGPCR,OR5D13
SurfaceomeGPCR,OR8K3
SurfaceomeCTLDs V NK receptor,KLRG2
Surfaceome,IGLL1
SurfaceomeGPCR,TAS2R13
SurfaceomeGPCR,TAS2R20
SurfaceomeGPCR,TAS2R42
SurfaceomeEnzyme,FUT3
Surfaceome,XK
SurfaceomeNK cell co-stimulator,KMT2E
SurfaceomeCTLDs V NK receptor,CLEC2L
Surfaceome,SORCS3
SurfaceomeCTLDs II Type 2 receptor,CLEC4E
Surfaceome,NINJ1
SurfaceomeCTLDs II Type 2 receptor,CLEC4F
SurfaceomeCTLDs II Type 2 receptor,CLEC6A
SurfaceomeGPCR,OR4F29
SurfaceomeKinase,AATK
Surfaceome,LILRA6
SurfaceomeIgSF_CAM,IZUMO1R
SurfaceomeCTLDs V NK receptor,KLRAP1
SurfaceomeGPCR,OR51G1
SurfaceomeGPCR,OR5L1
SurfaceomeEnzyme,DPEP3
SurfaceomeGPCR,TAS2R60
SurfaceomeGPCR,TAS2R41
Surfaceome,PIANP
SurfaceomeTNFT cell co-stimulator,LTA
Surfaceome,VPREB1
Surfaceome,KAAG1
Surfaceome,HLA-DRB9
Surfaceome,HLA-DQB3
